Month,quinoa
2004-01,8
2004-02,8
2004-03,9
2004-04,8
2004-05,7
2004-06,9
2004-07,9
2004-08,10
2004-09,8
2004-10,8
2004-11,8
2004-12,6
2005-01,9
2005-02,10
2005-03,11
2005-04,11
2005-05,11
2005-06,10
2005-07,10
2005-08,10
2005-09,10
2005-10,9
2005-11,10
2005-12,7
2006-01,12
2006-02,11
2006-03,12
2006-04,12
2006-05,12
2006-06,12
2006-07,11
2006-08,12
2006-09,12
2006-10,11
2006-11,11
2006-12,8
2007-01,13
2007-02,13
2007-03,15
2007-04,15
2007-05,16
2007-06,14
2007-07,13
2007-08,14
2007-09,14
2007-10,14
2007-11,14
2007-12,10
2008-01,17
2008-02,20
2008-03,19
2008-04,20
2008-05,18
2008-06,19
2008-07,18
2008-08,17
2008-09,18
2008-10,16
2008-11,17
2008-12,13
2009-01,21
2009-02,21
2009-03,21
2009-04,21
2009-05,21
2009-06,21
2009-07,24
2009-08,24
2009-09,21
2009-10,20
2009-11,20
2009-12,16
2010-01,30
2010-02,29
2010-03,31
2010-04,31
2010-05,31
2010-06,29
2010-07,32
2010-08,33
2010-09,31
2010-10,29
2010-11,27
2010-12,23
2011-01,41
2011-02,38
2011-03,41
2011-04,42
2011-05,41
2011-06,40
2011-07,39
2011-08,40
2011-09,39
2011-10,39
2011-11,38
2011-12,32
2012-01,53
2012-02,50
2012-03,52
2012-04,56
2012-05,55
2012-06,57
2012-07,60
2012-08,60
2012-09,59
2012-10,54
2012-11,49
2012-12,43
2013-01,77
2013-02,73
2013-03,77
2013-04,83
2013-05,77
2013-06,79
2013-07,79
2013-08,82
2013-09,82
2013-10,75
2013-11,70
2013-12,57
2014-01,100
2014-02,87
2014-03,88
2014-04,87
2014-05,79
2014-06,79
2014-07,82
2014-08,79
2014-09,77
2014-10,72
2014-11,68
2014-12,56
2015-01,99
2015-02,85
2015-03,86
2015-04,84
2015-05,83
2015-06,84
2015-07,84
2015-08,86
2015-09,80
2015-10,76
2015-11,72
2015-12,60
2016-01,94
2016-02,87
2016-03,82
2016-04,88
2016-05,85
2016-06,79
2016-07,77
2016-08,77
2016-09,77
2016-10,70
2016-11,66
2016-12,53
2017-01,90
2017-02,86
2017-03,87
2017-04,81
2017-05,81
2017-06,78
2017-07,82
2017-08,82
2017-09,78
2017-10,76