Month,what is quinoa
2004-01,4
2004-02,19
2004-03,5
2004-04,4
2004-05,5
2004-06,0
2004-07,7
2004-08,9
2004-09,3
2004-10,3
2004-11,3
2004-12,4
2005-01,5
2005-02,5
2005-03,4
2005-04,3
2005-05,4
2005-06,5
2005-07,5
2005-08,4
2005-09,4
2005-10,6
2005-11,6
2005-12,4
2006-01,6
2006-02,6
2006-03,7
2006-04,5
2006-05,4
2006-06,3
2006-07,4
2006-08,4
2006-09,4
2006-10,3
2006-11,2
2006-12,4
2007-01,8
2007-02,6
2007-03,4
2007-04,7
2007-05,3
2007-06,5
2007-07,6
2007-08,4
2007-09,5
2007-10,4
2007-11,6
2007-12,4
2008-01,6
2008-02,9
2008-03,8
2008-04,9
2008-05,7
2008-06,7
2008-07,7
2008-08,8
2008-09,10
2008-10,7
2008-11,7
2008-12,6
2009-01,12
2009-02,12
2009-03,8
2009-04,12
2009-05,9
2009-06,15
2009-07,13
2009-08,12
2009-09,12
2009-10,13
2009-11,13
2009-12,10
2010-01,22
2010-02,20
2010-03,22
2010-04,22
2010-05,22
2010-06,15
2010-07,22
2010-08,23
2010-09,23
2010-10,19
2010-11,18
2010-12,15
2011-01,31
2011-02,31
2011-03,27
2011-04,33
2011-05,28
2011-06,29
2011-07,25
2011-08,29
2011-09,29
2011-10,30
2011-11,29
2011-12,24
2012-01,48
2012-02,43
2012-03,43
2012-04,43
2012-05,41
2012-06,41
2012-07,44
2012-08,45
2012-09,46
2012-10,43
2012-11,35
2012-12,33
2013-01,68
2013-02,60
2013-03,63
2013-04,61
2013-05,58
2013-06,56
2013-07,55
2013-08,61
2013-09,64
2013-10,56
2013-11,49
2013-12,40
2014-01,92
2014-02,71
2014-03,72
2014-04,68
2014-05,59
2014-06,56
2014-07,62
2014-08,61
2014-09,55
2014-10,53
2014-11,49
2014-12,40
2015-01,100
2015-02,76
2015-03,68
2015-04,62
2015-05,60
2015-06,65
2015-07,69
2015-08,65
2015-09,58
2015-10,57
2015-11,47
2015-12,39
2016-01,65
2016-02,50
2016-03,47
2016-04,48
2016-05,45
2016-06,40
2016-07,39
2016-08,38
2016-09,38
2016-10,36
2016-11,40
2016-12,28
2017-01,61
2017-02,50
2017-03,55
2017-04,48
2017-05,44
2017-06,43
2017-07,49
2017-08,50
2017-09,49
2017-10,46